env_step,return,smoothed_return
0,14.719999999999999,72.3155151515151
10000,143.71999999999997,95.48921212121208
20000,130.82,111.73061471861469
30000,161.2,121.03972294372292
40000,141.42000000000002,123.41653679653666
50000,68.61999999999999,89.81939393939382
60000,61.959999999999994,84.50761904761893
70000,66.3,87.84883116883105
80000,114.01999999999998,108.19705627705615
90000,169.76000000000002,132.03731601731587
100000,155.64000000000001,155.4291774891773
110000,152.0,161.0606060606059
120000,146.95999999999998,166.3556709956708
130000,194.02,170.14380952380932
140000,151.2,180.7329870129868
150000,219.6,189.5503896103894
160000,188.14000000000001,195.7981818181816
170000,189.76,191.82839826839805
180000,194.85999999999999,204.09402597402573
190000,193.12,190.71800865800844
200000,181.26,178.06190476190457
210000,201.98,159.05774891774874
220000,102.86000000000001,140.08077922077905
230000,113.76000000000002,132.05627705627688
240000,133.66,129.50753246753231
250000,147.6,139.77004329004313
260000,177.14000000000001,170.84424242424222
270000,170.21999999999997,185.382424242424
280000,209.88000000000002,198.02519480519456
290000,210.32,198.39757575757554
300000,186.84,192.43783549783527
310000,198.84,182.76406926406904
320000,163.18,194.92034632034608
330000,193.34,210.88874458874434
340000,218.3,220.5015584415582
350000,313.18,236.51982683982658
360000,214.32,251.60147186147157
370000,212.38000000000002,252.26025974025947
380000,278.66,245.2231168831166
390000,239.82,232.5806060606058
400000,234.48000000000002,232.79948051948026
410000,225.0,234.82199134199107
420000,222.21999999999997,232.2396536796534
430000,225.01999999999998,247.37766233766203
440000,300.71999999999997,260.13177489177457
450000,260.62,274.1786147186144
460000,275.8,268.4639826839824
470000,257.98,252.8531601731599
480000,244.61999999999998,229.73220779220753
490000,181.96,221.34952380952353
500000,217.18,209.79783549783525
510000,223.82,219.3561038961036
520000,229.26,233.127359307359
530000,234.71999999999997,248.40285714285685
540000,278.55999999999995,233.5431168831166
550000,228.54000000000002,230.21636363636335
560000,208.51999999999998,225.24337662337635
570000,174.78,220.08770562770536
580000,266.46,223.29766233766208
590000,229.35999999999999,233.68588744588715
600000,237.58,232.26406926406898
610000,251.21999999999997,236.69809523809494
620000,201.32,228.77523809523782
630000,205.78000000000003,225.57264069264045
640000,262.28000000000003,211.69012987012962
650000,216.56,212.40242424242402
660000,183.36,220.48034632034606
670000,208.95999999999998,231.61168831168803
680000,277.92,244.16675324675296
690000,256.44,255.10510822510793
700000,294.12,274.50285714285684
710000,269.08000000000004,278.19385281385246
720000,239.95999999999998,288.8618181818178
730000,338.71999999999997,301.1466666666663
740000,301.68,313.107965367965
750000,351.94,319.8251948051944
760000,293.76,315.03549783549744
770000,320.62,304.16857142857106
780000,269.58000000000004,301.2880519480516
790000,296.94,294.040346320346
800000,334.1,308.48207792207756
810000,293.71999999999997,317.05064935064894
820000,326.02,330.24545454545415
830000,354.3,332.8030303030299
840000,326.5,328.3360173160169
850000,321.32,328.2358441558438
860000,319.02,314.07818181818146
870000,293.18,293.27082251082214
880000,298.02000000000004,294.2045887445884
890000,276.84,295.35610389610355
900000,276.14,296.39965367965334
910000,342.71999999999997,294.5380952380949
920000,288.3,284.4979220779217
930000,269.8,275.1778354978352
940000,253.76000000000005,279.02095238095205
950000,264.24,278.3917748917746
960000,302.36,303.18181818181785
970000,360.96,308.0725454545453
980000,306.88,310.6920606060605
990000,335.58,311.0403636363635
1000000,278.62,309.11745454545445
