env_step,return,smoothed_return
0,10.680000000000001,138.71054545454498
10000,416.23999999999995,280.6523030303026
20000,455.8,392.9609870129867
30000,500.0,475.6365974025971
40000,488.02,528.6791341991335
50000,499.28000000000003,501.81714285714213
60000,499.53999999999996,501.6354978354972
70000,500.0,498.9419913419906
80000,499.56000000000006,500.85541125541056
90000,500.0,499.93471861471795
100000,500.0,499.9675324675318
110000,500.0,499.97333333333256
120000,500.0,500.0399999999993
130000,500.0,499.9999999999993
140000,500.0,499.9999999999993
150000,500.0,499.9999999999993
160000,500.0,499.9999999999993
170000,500.0,499.9999999999993
180000,500.0,499.9999999999993
190000,500.0,499.9999999999993
200000,500.0,499.9999999999993
210000,500.0,499.9999999999993
220000,500.0,499.9999999999993
230000,500.0,499.9999999999993
240000,500.0,499.9999999999993
250000,500.0,499.9999999999993
260000,500.0,499.9999999999993
270000,500.0,499.9999999999993
280000,500.0,500.1836363636356
290000,500.0,499.8775757575751
300000,500.0,499.65896103896034
310000,500.0,499.5277922077915
320000,497.98,499.4840692640686
330000,500.0,499.5277922077915
340000,500.0,499.65896103896034
350000,500.0,499.90666666666596
360000,500.0,500.1642424242417
370000,500.0,499.9459740259733
380000,500.0,499.9251948051941
390000,499.68,499.9182683982676
400000,500.0,499.9251948051941
410000,500.0,499.9459740259733
420000,500.0,499.9806060606054
430000,500.0,500.0290909090902
440000,500.0,499.9999999999993
450000,500.0,499.9999999999993
460000,500.0,499.9999999999993
470000,500.0,499.9999999999993
480000,500.0,499.9999999999993
490000,500.0,499.9999999999993
500000,500.0,499.9999999999993
510000,500.0,499.9999999999993
520000,500.0,499.9999999999993
530000,500.0,499.9999999999993
540000,500.0,499.9999999999993
550000,500.0,499.9999999999993
560000,500.0,499.9999999999993
570000,500.0,499.9999999999993
580000,500.0,499.9999999999993
590000,500.0,499.9999999999993
600000,500.0,504.2781818181811
610000,500.0,497.1478787878781
620000,500.0,492.05480519480443
630000,500.0,488.9989610389603
640000,452.93999999999994,487.9803463203456
650000,500.0,488.9989610389603
660000,500.0,492.05480519480443
670000,500.0,497.1478787878781
680000,500.0,504.2781818181811
690000,500.0,499.9999999999993
700000,500.0,499.9999999999993
710000,500.0,499.9999999999993
720000,500.0,499.9999999999993
730000,500.0,499.9999999999993
740000,500.0,499.9999999999993
750000,500.0,499.9999999999993
760000,500.0,499.9999999999993
770000,500.0,499.9999999999993
780000,500.0,499.9999999999993
790000,500.0,499.9999999999993
800000,500.0,499.9999999999993
810000,500.0,499.9999999999993
820000,500.0,499.9999999999993
830000,500.0,499.9999999999993
840000,500.0,499.9999999999993
850000,500.0,500.1309090909084
860000,500.0,499.97818181818116
870000,500.0,499.8659740259733
880000,500.0,499.69454545454477
890000,498.56000000000006,499.01056277056205
900000,499.28000000000003,498.9249350649344
910000,498.32,498.2976623376616
920000,497.2,498.10588744588676
930000,500.0,498.34961038960967
940000,496.58000000000004,498.6174025974019
950000,500.0,499.1835497835491
960000,500.0,499.67714285714214
970000,500.0,499.92257142857113
980000,500.0,500.05752380952345
990000,500.0,500.08199999999954
1000000,500.0,499.99599999999936
